name,category,description,goal,who_is_this_for
Anti-Cravings Simplified,enhance,"Entry level, bare minimum anti-parasitic gut microbe clear out to reset dietary control and start shedding stubborn fat and feeling better mental clarity, without changing anything else in your life.",Better control of your diet and health.,"People trying to lose stubborn fat.
Someone who's not fully confident yet in a full gut or digestive stability reset protocol.
Anyone who could use a boost of focus or an uplift in mood."
Blood Sugar & Energy Stability,reset,Stabilize blood sugar for steady energy.,more_energy,null
Boost Focus & Mental Energy (Intense),reset,Advanced focus enhancement protocol.,mental_clarity,null
Boost Focus & Mental Energy (Lite),reset,Foundation habits for mental clarity.,mental_clarity,null
Boost Mood & Stress Resilience,reset,Build emotional balance and stress resilience.,stress_relief,null
Calm Allergies & Strengthen Immunity,reset,Reduce allergies and boost immune function.,immune_support,null
Calm Sleep Starter,reset,A 14-day evening rhythm for deeper sleep.,better_sleep,null
Clear Mental Fog (Intense),reset,Deep mental clarity reset protocol.,mental_clarity,null
Clear Mental Fog (Lite),reset,Clear brain fog with foundation habits.,mental_clarity,null
Clear Sinus & Histamine Overload,reset,Reduce sinus congestion and histamine.,immune_support,null
Cravings Control & Appetite Reset,reset,Master cravings and reset appetite signals.,weight_management,null
Digestive Stability Protocol,reset,"The foundational Sakred digestive stability reset protocol designed to reduce negative parasitic and opportunistic microbial load (including fungal/yeast), while restoring digestive terrain, nervous system balance, and waste elimination efficiency. This is the core digestive stability reset protocol for long-term health maintenance, supporting gut clarity, nervous system regulation, and mental clarity.",gut_health,"Ideal for:

Anyone experiencing: fatigue, brain fog, bloating, stress, emotional swings, stubborn inflammation, etc.
Individuals with sugar cravings or digestive irregularity
Those who have never done a structured digestive stability reset protocol.
People who have reset protocold before but want a grounded, system-aware approach
Health-conscious individuals seeking internal maintenance, not extremes

Parasites are not a reflection of hygiene or failure — they are a normal part of modern life. This routine addresses that reality with clarity and structure. Most of the stress we experience in life is emotional, and this helps remove negative emotional pulls mechanically, not relying on mental control."
Enhance Skin Glow & Complexion,reset,Build radiant skin from within.,skin_health,null
Full Gut Reset & Drainage,reset,Comprehensive gut healing protocol.,gut_health,null
Gut Calm & Bloat Relief,reset,Reduce bloating and digestive discomfort.,gut_health,null
Gut Reset & Motility Reset Protocol,reset,Restore healthy gut motility.,gut_health,null
Hydration & Energy Reset,reset,A 21-day foundation to steady energy and focus.,more_energy,null
Lymphatic & Circulatory Reset Protocol,reset,Support lymph flow and circulation.,reset,null
Mineral Balance Protocol,reset,Safely mobilize and eliminate mineral imbalances.,reset,null
Reset Skin & Reduce Breakouts,reset,Clear skin through internal cleansing.,skin_health,null
