routine_name,habit_title,short_description,intensity
Blood Sugar & Energy Stability,Blood-Sugar Balanced Snack,Balanced snacks for steady energy,lite
Blood Sugar & Energy Stability,10-Min Post-Meal Walk,Movement for glucose control,lite
Blood Sugar & Energy Stability,Glucose Support (Optional),Optional supplement support,intense
Boost Focus & Mental Energy (Intense),Lions Mane + Ginkgo Stack,Nootropic combo,intense
Boost Focus & Mental Energy (Intense),Shilajit,Cellular energy support,intense
Boost Focus & Mental Energy (Intense),Liver Flow Herbs,Liver support for clarity,intense
Boost Focus & Mental Energy (Intense),Dopamine Hygiene Day,Low-stim day for reset,intense
Boost Focus & Mental Energy (Lite),Morning Sunlight Before Screens,Light before screen time,lite
Boost Focus & Mental Energy (Lite),Steady Hydration Rhythm,Consistent hydration,lite
Boost Focus & Mental Energy (Lite),Electrolyte Support,Minerals for brain function,lite
Boost Focus & Mental Energy (Lite),Trace Minerals,Full mineral spectrum,lite
Boost Focus & Mental Energy (Lite),Breath Cadence Focus,Breathing for clarity,lite
Boost Focus & Mental Energy (Lite),Magnesium Glycinate,Evening magnesium for sleep,lite
Boost Mood & Stress Resilience,Rhodiola / Ashwagandha,Adaptogens for stress,lite
Boost Mood & Stress Resilience,Daily Omega-3,Essential fatty acids,lite
Boost Mood & Stress Resilience,L-Theanine + Mag (PM),Evening calming stack,lite
Calm Allergies & Strengthen Immunity,Chlorophyll + Mineral Water,Green pigment for reset,lite
Calm Allergies & Strengthen Immunity,Quercetin + Nettle,Natural antihistamine,lite
Calm Allergies & Strengthen Immunity,Black Seed Oil,Immune modulation,lite
Calm Allergies & Strengthen Immunity,Nasal Breathing Practice,Conscious nasal breathing,lite
Calm Sleep Starter,Electrolytes (PM),Evening mineral support for overnight recovery.,lite
Calm Sleep Starter,20-Minute Wind-Down,Consistent downshifting improves sleep depth.,lite
Calm Sleep Starter,Screens-at-Sunset Rule,Lower evening screen exposure helps melatonin timing.,lite
Calm Sleep Starter,2-Minute Breath Reset,Downshifts the nervous system before sleep.,lite
Calm Sleep Starter,2-Minute Journal Check-In,Evening reflection clears racing thoughts before bed.,lite
Clear Mental Fog (Intense),Cilantro + Fulvic Mobilizer,Metal mobilization protocol,intense
Clear Mental Fog (Intense),Modified Citrus Pectin Binder,Gentle toxin binder,intense
Clear Mental Fog (Intense),Neural Drainage Movement,Movement for brain circulation support,intense
Clear Mental Fog (Intense),Sleep Sanctuary Protocol,Optimized sleep environment,intense
Clear Mental Fog (Lite),Morning Electrolyte Kickstart,Mineral hydration to start,lite
Clear Mental Fog (Lite),Morning Sunlight Reset,Natural light for clarity,lite
Clear Mental Fog (Lite),Liquid Chlorophyll Flush,Green support for resetting,lite
Clear Mental Fog (Lite),Breath Cadence 4-6 Reset,Calming breath for clarity,lite
Clear Mental Fog (Lite),Daily Digital Reset Window,Screen-free time for recovery,lite
Clear Sinus & Histamine Overload,Serrapeptase Enzyme,Enzyme for mucus breakdown,intense
Clear Sinus & Histamine Overload,Oil of Oregano,Natural antimicrobial,intense
Clear Sinus & Histamine Overload,Nasal Rinse,Sinus irrigation,lite
Clear Sinus & Histamine Overload,Liver Reset Herbs (PM),Liver support for histamine,lite
Cravings Control & Appetite Reset,Protein-First Breakfast,High protein start,lite
Cravings Control & Appetite Reset,Morning Mineral Stabilizer,Minerals prevent false hunger,lite
Cravings Control & Appetite Reset,Balanced Plate Rule,Macro balance each meal,lite
Cravings Control & Appetite Reset,ACV Pre-Meal,Vinegar for glucose,lite
Cravings Control & Appetite Reset,Hydration Spacing,Water timing,lite
Cravings Control & Appetite Reset,Evening Eating Cutoff,Time-restricted eating,lite
Cravings Control & Appetite Reset,Stress Downshift (5 Min),Quick stress relief,lite
Cravings Control & Appetite Reset,Magnesium Evening Support,Mineral for craving reduction,lite
Digestive Stability Protocol,Tongue Scrape + Saccharomyces boulardii,A top-down microbial regulation habit that reduces oral biofilm while supporting gut-level microbial balance during active digestive stability elimination.,lite
Digestive Stability Protocol,Diatomaceous Earth (Food-Grade),"A mechanical gut-clearing habit used to disrupt, collect, and escort digestive material and intestinal debris out of the body through physical action.",intense
Digestive Stability Protocol,Mimosa Pudica,"A daily mimosa pudica habit used to physically collect and remove intestinal debris, biofilm, and digestive material through mechanical adhesion.",lite
Digestive Stability Protocol,Papaya Seed Protocol,"A traditional, food-based antidigestive practice using papaya seeds to support mechanical digestive stability disruption, bowel movement signaling, and early elimination flow.",lite
Digestive Stability Protocol,Oil of Oregano Tincture - On/Off Cycles,"A cyclical antimicrobial activation habit used alongside antidigestive tinctures to apply decisive pressure on digestive imbalances and microbes, intentionally triggering die-off that is captured by binders.",intense
Digestive Stability Protocol,Pumpkin Seed Intake,A daily whole-food habit that applies gentle digestive stability support while replenishing minerals commonly depleted during resetting.,lite
Digestive Stability Protocol,ACV Morning Primer,"A morning activation habit using apple cider vinegar to signal digestion, bile flow, and bowel movement before elimination work begins.",lite
Digestive Stability Protocol,Pau d’Arco Tea,"A gentle herbal tea used to support microbial balance, bile flow, and digestive terrain without applying aggressive elimination pressure.",lite
Digestive Stability Protocol,Raw Garlic Activation Protocol,"A traditional, food-based antidigestive activation habit using raw garlic to apply periodic pressure while supporting immune signaling and elimination.",intense
Digestive Stability Protocol,Core Digestive Support Tinctures (Wormwood · Black Walnut · Clove),"The primary antidigestive herbal protocol used to actively eliminate digestive imbalances while supporting gut function, bile flow, and effective elimination.",intense
Digestive Stability Protocol,Binder Stack (Activated Charcoal + Bentonite Clay),"A targeted binder protocol used to capture and escort buildup, microbial debris, and digestive waste released by antidigestive herbs during active elimination.",intense
Digestive Stability Protocol,Digestive Support Food Guardrails,"Simple dietary guardrails used to reduce digestive disruption and signal noise while maintaining nourishment, energy, and nervous system stability.",lite
Enhance Skin Glow & Complexion,Collagen Peptides,Protein for skin structure,lite
Enhance Skin Glow & Complexion,Vitamin C (Whole Food),Antioxidant for glow,lite
Enhance Skin Glow & Complexion,Skin Hydration Protocol,Internal + external hydration,lite
Full Gut Reset & Drainage,Digestive Bitters,Stimulate digestion,lite
Full Gut Reset & Drainage,Digestive Enzymes,Support nutrient breakdown,lite
Full Gut Reset & Drainage,Soil-Based Probiotics,Replenish gut flora,lite
Full Gut Reset & Drainage,L-Glutamine,Gut lining repair,lite
Full Gut Reset & Drainage,Bone Broth or Collagen,Gut healing nutrients,lite
Full Gut Reset & Drainage,Elimination Diet Phase,Remove inflammatory foods,intense
Full Gut Reset & Drainage,Gut-Brain Stress Reset,Calm nervous system for digestion,lite
Gut Calm & Bloat Relief,Ginger Tea Protocol,Anti-bloating support,lite
Gut Calm & Bloat Relief,Mindful Chewing,Slow eating for digestion,lite
Gut Calm & Bloat Relief,Meal Spacing,Allow full digestion,lite
Gut Calm & Bloat Relief,Post-Meal Movement,Gentle movement for motility,lite
Gut Reset & Motility Reset Protocol,Magnesium Citrate,Osmotic support for motility,lite
